park_num,site_name,physical,visual,haptic,component_sum,physical_share,visual_share,haptic_share,ternary_x,ternary_y
134,Marina Park,0.06910168262743496,0.7075445695342936,0.728761410214458,1.5054076623761865,0.04590230563750587,0.47000197170345287,0.4840957226590412,0.7120498330329734,0.4192391936861158
135,Bedford Channel Landing,0.11304020362324434,0.4419232382378495,0.5479027942052015,1.1028662360662953,0.10249674885907857,0.4007042955763175,0.496798955564604,0.6491037733586195,0.43024051609252356
136,Westwood Park,0.3629858200885404,0.06152625280036439,0.7367722001123815,1.1612842730012862,0.312572751158009,0.05298121590965199,0.6344460329323391,0.37020423237582156,0.5494463818496642
137,Klootchman Park,0.07910708476888223,0.7847117988507498,0.6932984515526754,1.5571173351723075,0.05080354767235855,0.5039516169562874,0.44524483537135395,0.7265740346419645,0.3855933383354127
138,John Lawson Park,0.5524405028513146,0.8508836575103951,0.4628663092050071,1.8661904695667169,0.29602578721751677,0.4559468453978061,0.24802736738467707,0.5799605290901446,0.21479800098890625
139,Elgin Heritage Park,0.13251444773270893,0.532183753635991,0.5429943507399027,1.2076925521086026,0.10972531668042652,0.44066161764996464,0.44961306566960885,0.665468150484769,0.3893763367432823
140,National Park,0.02158780249387313,0.00371044211317373,0.540425636650848,0.5657238812578949,0.03815960967720216,0.006558751072914777,0.9552816392498831,0.4841995706978563,0.8272981673592404
141,Deep Cove Park,0.3401292560309333,0.30910535459026633,0.581424970880691,1.2306595815018908,0.27637964319575786,0.2511704773898853,0.47244987941435673,0.4873954170970637,0.4091535975877276
142,Strathcona Park,0.03487195080164132,0.2382810823503789,0.06154035858217516,0.3346933917341954,0.10419073594777067,0.7119384135902374,0.18387085046199203,0.8038738388212334,0.15923682751553478
143,Hume Park,0.49213416259508497,0,0.621085663484473,1.113219826079558,0.4420817443830845,0,0.5579182556169154,0.2789591278084577,0.48317138259934883
144,Park Site on South East False Creek (Hinge Park),0.9469041242485792,0.04767721139194013,0.08641441520793619,1.0809957508484556,0.8759554545014353,0.04410490175795703,0.07993964374060764,0.08407472362826085,0.06922976224884389
145,"Stanley Park (Seawall, Second Beach, Third Beach)",0.24436459376599007,0.8238764436860622,0.8262247732581915,1.8944658107102437,0.1289886533631223,0.4348858865799152,0.43612546005696257,0.6529486166083965,0.37769572764650505
146,Lost Lagoon,0.3553638732544799,0.1139162329600139,0.6948601143976416,1.1641402206121354,0.3052586509446605,0.09785439154409918,0.5968869575112403,0.39629787029971936,0.5169192683923369
147,Beaver Lake,0.08947718540471958,0,0.5112687399617922,0.6007459253665118,0.14894347448154563,0,0.8510565255184543,0.42552826275922717,0.7370365711555008
