catchment_min,outcome,specification,family,N,term,estimate,std_error,statistic,p_value,conf_low,conf_high,inference,term_label,significance
20,haptic,controlled,OLS,112,z_indigenous,-0.03186090531365099,0.1294017329482964,-0.24621699097632094,0.8060090655696349,-0.28548830189231195,0.22176649126500997,HC3 robust,Indigenous identity residents (%),
20,multidimensional,controlled,OLS,112,z_shelter,-0.10977758208738524,0.13045877070606876,-0.8414733750229837,0.40205128629453757,-0.36547677267128004,0.14592160849650954,HC3 robust,Principal accommodation expenditure,
20,multidimensional,controlled,OLS,112,z_low_income,-0.0510012015798978,0.16600794078888645,-0.3072214578262639,0.7593011784041598,-0.3763767655261152,0.2743743623663196,HC3 robust,Low-income residents (%),
20,multidimensional,controlled,OLS,112,z_bachelors,0.045378466247207934,0.16824612209991513,0.26971478261031984,0.7879245863012764,-0.2843839330686257,0.37514086556304155,HC3 robust,Bachelor's degree or higher (%),
20,multidimensional,controlled,OLS,112,z_visible_minority,0.16787746953470897,0.13797175928256117,1.2167524021412381,0.22650637378853325,-0.10254717865911092,0.4383021177285289,HC3 robust,Visible-minority residents (%),
20,multidimensional,controlled,OLS,112,z_indigenous,-0.014884577549541238,0.11105605977020735,-0.13402760353950785,0.893644841767685,-0.23255445469914765,0.2027852996000652,HC3 robust,Indigenous identity residents (%),
30,pedestrian,controlled,SAR_error,114,z_shelter,-0.3305719745057038,0.13160169093537005,-2.511912819327288,0.012007874911270644,-0.5885112887390291,-0.07263266027237852,SAR model-based,Principal accommodation expenditure,*
30,pedestrian,controlled,SAR_error,114,z_low_income,0.13291668505065493,0.14767734120577997,0.900047928581292,0.3680947450665739,-0.15653090371267378,0.42236427381398367,SAR model-based,Low-income residents (%),
30,pedestrian,controlled,SAR_error,114,z_bachelors,0.22000180963866736,0.13995632563492086,1.5719318768952746,0.1159663508480866,-0.054312588605777506,0.49431620788311226,SAR model-based,Bachelor's degree or higher (%),
30,pedestrian,controlled,SAR_error,114,z_visible_minority,-0.10230629469593831,0.12575666378393657,-0.8135258332847594,0.41591664120152294,-0.348789355712454,0.14417676632057735,SAR model-based,Visible-minority residents (%),
30,pedestrian,controlled,SAR_error,114,z_indigenous,-0.06676083056913198,0.09161684524000663,-0.7286960208490055,0.4661876274017538,-0.24632984723954499,0.11280818610128102,SAR model-based,Indigenous identity residents (%),
30,transit,controlled,SAR_lag,114,z_shelter,0.18014869652724702,0.07264073490654542,2.4799955115957175,0.01313840365454677,0.037772856110418,0.322524536944076,SAR model-based,Principal accommodation expenditure,*
30,transit,controlled,SAR_lag,114,z_low_income,0.4408454875542782,0.08476893653570228,5.200554655638585,1.986946773779863e-7,0.27469837194430174,0.6069926031642547,SAR model-based,Low-income residents (%),***
30,transit,controlled,SAR_lag,114,z_bachelors,-0.20361714606033732,0.0774307819005007,-2.629666665667761,0.008546862587916815,-0.3553814785853187,-0.051852813535355924,SAR model-based,Bachelor's degree or higher (%),**
30,transit,controlled,SAR_lag,114,z_visible_minority,-0.2314845825238296,0.06837735403595314,-3.3853983645245163,7.107502450611758e-4,-0.36550419643429777,-0.09746496861336146,SAR model-based,Visible-minority residents (%),***
30,transit,controlled,SAR_lag,114,z_indigenous,-0.12942145135231,0.05394188049941646,-2.3992758530861766,0.016427533906943292,-0.23514753713116626,-0.023695365573453753,SAR model-based,Indigenous identity residents (%),*
